ENA_SAMPLE_ACCESSION;ENA_ALIAS;ENA_RUN_ACCESSION;REPLICA;COLLECTION_DATE;COMPLETE_NAME;COUNTRY;CITY;LATITUDE;LONGITUDE;PLANT;SAMPLING TYPE;SEWAGE TYPE;;;;;;;;;;;;;
ERS17759485;1007274;ERR12510789;1;2020-08-27;DTU_2020_1007274_1_MG_RD_CPH_Sewage_742;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759484;1007220;ERR12510720;1;2020-03-12;DTU_2020_1007220_1_MG_RD_CPH_Sewage_647;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759470;1007248;ERR12510758;1;2020-06-24;DTU_2020_1007248_1_MG_RD_CPH_Sewage_709;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759469;1007185;ERR12510674;1;2019-11-24;DTU_2020_1007185_1_MG_RD_CPH_Sewage_607;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759469;1007185;ERR12510675;2;2019-11-24;DTU_2020_1007185_2_MG_RD_CPH_Sewage_607;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759468;1007154;ERR12510642;1;2019-02-18;DTU_2020_1007154_1_MG_RD_CPH_Sewage_505;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759468;1007154;ERR12510643;2;2019-02-18;DTU_2020_1007154_2_MG_RD_CPH_Sewage_505;Denmark;Copenhagen;55,6405;12,5058;Rensningsanlaeg Damhusaaen;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759467;1007174;ERR12510654;2;2019-10-13;DTU_2020_1007174_2_MG_RA_CPH_Sewage_593;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759467;1007174;ERR12510653;1;2019-10-13;DTU_2020_1007174_1_MG_RA_CPH_Sewage_593;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
ERS17759466;1007284;ERR12510802;1;2020-05-20;DTU_2020_1007284_1_MG_RA_CPH_Sewage_2_678;Denmark;Copenhagen;55,6085;12,4505;Rensningsanlaeg Avedoere;24-hour sampler;wastewater treatment plant (municipal or industrial);;;;;;;;;;;;;
